tournamentid;matchid;LeagueTypeID;LeagueTypeName;eventid;eventcode;eventname;drawid;drawcode;drawname;team1id;team1name;team2id;team2name;winner;plannedtime;plannedtime_original;locationid;locationname;team1matchpoints;team2matchpoints;team1matches;team2matches;team1sets;team2sets;team1points;team2points;HomeAwaySwapped;teamresult_enteredon;teamresult_user;submatchresult_enteredon;submatchresult_user;teammatchconfirmed_confirmedon;teammatchconfirmed_user;flag_MatchNotPlayedTeam1DidNotShow;flag_MatchNotPlayedTeam2DidNotShow;flag_PenaltyTeam1;flag_PenaltyTeam2;flag_PenaltyTeam1AllPoints;flag_PenaltyTeam2AllPoints;flag_PenaltyBothTeams
161323;136;1;gemengd;2;;2de prov;3;;2de prov B;;Oostrozebeke 3G;;Tielt 2G;3;13-10-2016 19:45:00;16-10-2016 17:00:00;;;1;1;0;0;10;8;327;339;False;;;14-10-2016 14:35:59;BC Oostrozebeke;17-10-2016 07:54:10;BC Tielt;false;false;false;false;false;false;false
161323;126;1;gemengd;2;;2de prov;3;;2de prov B;;Brugse 1G;;DZ99 4G;1;14-10-2016 20:30:00;14-10-2016 20:30:00;;;2;0;1;0;12;7;359;308;False;;;15-10-2016 01:18:23;WVBF;15-10-2016 21:39:17;DZ 99;false;false;false;false;false;false;false
161323;298;1;gemengd;4;;4de prov;6;;4de prov A;;Torhout 3G;;Smasj1G;1;14-10-2016 20:30:00;14-10-2016 20:30:00;;;2;0;1;0;12;5;324;292;False;;;15-10-2016 01:39:25;Albert Bossuyt Torhout;17-10-2016 13:24:18;Bruno De Baenst;false;false;false;false;false;false;false
161323;342;1;gemengd;4;;4de prov;7;;4de prov B;;Gullegem 2G;;Barloke 3G;3;14-10-2016 20:30:00;14-10-2016 20:30:00;;;1;1;0;0;9;9;316;306;False;;;15-10-2016 00:41:48;BC Gullegem;15-10-2016 12:02:25;BC Barloke;false;false;false;false;false;false;false
161323;358;1;gemengd;4;;4de prov;7;;4de prov B;;Brugse 3G;;LEBAD Kortrijk 5G;2;14-10-2016 20:30:00;7-10-2016 20:30:00;;;0;2;0;1;9;11;360;360;False;;;15-10-2016 01:25:44;WVBF;15-10-2016 18:54:04;Lebad Kortrijk;false;false;false;false;false;false;false
161323;376;1;gemengd;4;;4de prov;8;;4de prov C;;Brugse 4G;;De Valkaart 3G;2;14-10-2016 20:30:00;21-10-2016 20:30:00;;;0;2;0;1;2;14;184;333;False;;;15-10-2016 01:32:13;WVBF;21-10-2016 18:20:19;BC De Valkaart;false;false;false;false;false;false;false
161323;477;1;gemengd;5;;5de prov;9;;5de prov A;;Torhout 4G;;SPORTIF 5G;1;14-10-2016 20:30:00;14-10-2016 20:30:00;;;2;0;1;0;15;4;394;317;False;;;15-10-2016 01:49:24;Albert Bossuyt Torhout;17-10-2016 00:56:10;bc sportif vzw;false;false;false;false;false;false;false
161323;466;1;gemengd;5;;5de prov;10;;5de prov B;;Gullegem 3G;;Bavikhoofse 1G;3;14-10-2016 20:30:00;14-10-2016 20:30:00;;;1;1;0;0;9;10;353;331;False;;;15-10-2016 11:11:58;BC Gullegem;18-10-2016 18:55:35;Badminton Bavikhoofse;false;false;false;false;false;false;false
161323;161;1;gemengd;3;;3de prov;4;;3de prov A;;Ombesa 2G;;OBTC 2G;1;15-10-2016 09:15:00;22-10-2016 09:15:00;;;2;0;1;0;12;5;318;276;False;;;16-10-2016 19:09:06;bc Ombesa;16-10-2016 20:05:18;De Oostendse Badmintonclub OBTC;false;false;false;false;false;false;false
161323;28;1;gemengd;1;;1ste prov;1;;1ste prov;;LEBAD Kortrijk 2G;;BC Damme 1G;1;15-10-2016 18:30:00;15-10-2016 18:30:00;;;2;0;1;0;12;5;338;259;False;16-10-2016 09:46:18;Lebad Kortrijk;16-10-2016 09:50:30;Lebad Kortrijk;20-10-2016 14:58:48;Patrick Heusequin;false;false;false;false;false;false;false
161323;293;1;gemengd;4;;4de prov;6;;4de prov A;;LEBAD Kortrijk 6G;;Loppem 1G;2;15-10-2016 18:30:00;15-10-2016 18:30:00;;;0;2;0;1;9;10;344;348;False;16-10-2016 07:55:56;Lebad Kortrijk;16-10-2016 08:08:57;Lebad Kortrijk;23-10-2016 10:55:56;Badminton Loppem;false;false;false;false;false;false;false
161323;419;1;gemengd;5;;5de prov;9;;5de prov A;;LEBAD Kortrijk 7G;;Westhoek 5G;1;15-10-2016 18:30:00;15-10-2016 18:30:00;;;2;0;1;0;10;7;285;256;False;16-10-2016 17:30:31;Lebad Kortrijk;16-10-2016 17:35:13;Lebad Kortrijk;16-10-2016 22:53:57;Westhoek Badminton;false;false;false;false;false;false;false
161323;386;1;gemengd;4;;4de prov;8;;4de prov C;;DZ99 5G;;SPORTIF 3G;3;15-10-2016 19:00:00;15-10-2016 19:00:00;;;1;1;0;0;9;9;329;306;False;16-10-2016 08:27:04;DZ 99;16-10-2016 08:31:27;DZ 99;17-10-2016 01:10:39;bc sportif vzw;false;false;false;false;false;false;false
161323;191;1;gemengd;3;;3de prov;4;;3de prov A;;OBTC 2G;;IZBA 2G;2;15-10-2016 19:30:00;15-10-2016 19:30:00;;;0;2;0;1;7;11;295;324;False;16-10-2016 20:07:49;De Oostendse Badmintonclub OBTC;16-10-2016 20:12:39;De Oostendse Badmintonclub OBTC;27-11-2016 13:58:33;club IZBA;false;false;false;false;false;false;false
161323;185;1;gemengd;3;;3de prov;4;;3de prov A;;Roeselare 1G;;Gitse 2G;1;15-10-2016 19:30:00;15-10-2016 19:30:00;;;2;0;1;0;11;9;381;372;False;;;16-10-2016 11:10:12;Jozef Verbrugghe;17-10-2016 17:18:23;Jonas Maes Gitse;false;false;false;false;false;false;false
161323;77;1;gemengd;2;;2de prov;2;;2de prov A;;Barloke 1G;;LEBAD Kortrijk 3G;1;15-10-2016 20:00:00;15-10-2016 20:00:00;;;2;0;1;0;16;2;371;201;False;;;16-10-2016 10:51:28;BC Barloke;16-10-2016 17:53:15;Lebad Kortrijk;false;false;false;false;false;false;false
161323;249;1;gemengd;3;;3de prov;5;;3de prov B;;Barloke 2G;;SPORTIF 1G;1;15-10-2016 20:00:00;15-10-2016 20:00:00;;;2;0;1;0;15;5;402;300;False;;;16-10-2016 09:02:18;BC Barloke;17-10-2016 11:22:29;bc sportif vzw;false;false;false;false;false;false;false
